iso_code,indicator_code,year,value
BRA,NY.GDP.MKTP.CD,1960,918604404782.934
BRA,NY.GDP.MKTP.CD,1961,918604404782.934
BRA,NY.GDP.MKTP.CD,1962,953931325832.1528
BRA,NY.GDP.MKTP.CD,1963,991322230159.6191
BRA,NY.GDP.MKTP.CD,1964,1028713134487.0856
BRA,NY.GDP.MKTP.CD,1965,1068274525108.6632
BRA,NY.GDP.MKTP.CD,1966,1109357334652.0413
BRA,NY.GDP.MKTP.CD,1967,1152020072575.538
BRA,NY.GDP.MKTP.CD,1968,1197175390521.9497
BRA,NY.GDP.MKTP.CD,1969,1242330708468.3616
BRA,NY.GDP.MKTP.CD,1970,1291968127822.3557
BRA,NY.GDP.MKTP.CD,1971,1341605547176.3496
BRA,NY.GDP.MKTP.CD,1972,1391242966530.3438
BRA,NY.GDP.MKTP.CD,1973,1444746226674.7493
BRA,NY.GDP.MKTP.CD,1974,1500307070515.8538
BRA,NY.GDP.MKTP.CD,1975,1558004626889.1245
BRA,NY.GDP.MKTP.CD,1976,1617921067700.7002
BRA,NY.GDP.MKTP.CD,1977,1680141724955.2625
BRA,NY.GDP.MKTP.CD,1978,1744755212284.4658
BRA,NY.GDP.MKTP.CD,1979,1811853551149.0076
BRA,NY.GDP.MKTP.CD,1980,1881532301894.0708
BRA,NY.GDP.MKTP.CD,1981,1953890699844.7893
BRA,NY.GDP.MKTP.CD,1982,2029031796635.5564
BRA,NY.GDP.MKTP.CD,1983,2107062606974.46
BRA,NY.GDP.MKTP.CD,1984,2188094261051.8608
BRA,NY.GDP.MKTP.CD,1985,2272242162810.1733
BRA,NY.GDP.MKTP.CD,1986,2359626154300.252
BRA,NY.GDP.MKTP.CD,1987,2450370686358.4604
BRA,NY.GDP.MKTP.CD,1988,2544604995847.4946
BRA,NY.GDP.MKTP.CD,1989,2642463289713.3867
BRA,NY.GDP.MKTP.CD,1990,2744084936120.822
BRA,NY.GDP.MKTP.CD,1991,2849614662938.9697
BRA,NY.GDP.MKTP.CD,1992,2961309987693.243
BRA,NY.GDP.MKTP.CD,1993,3073005312447.516
BRA,NY.GDP.MKTP.CD,1994,3191184384408.656
BRA,NY.GDP.MKTP.CD,1995,3313908288424.9263
BRA,NY.GDP.MKTP.CD,1996,3441351805851.9976
BRA,NY.GDP.MKTP.CD,1997,3584274686747.987
BRA,NY.GDP.MKTP.CD,1998,3727197567643.9756
BRA,NY.GDP.MKTP.CD,1999,3870120448539.965
BRA,NY.GDP.MKTP.CD,2000,4013043329435.954
BRA,NY.GDP.MKTP.CD,2001,4155966210331.943
BRA,NY.GDP.MKTP.CD,2002,4315792888095.708
BRA,NY.GDP.MKTP.CD,2003,4481766046757.584
BRA,NY.GDP.MKTP.CD,2004,4654122062546.868
BRA,NY.GDP.MKTP.CD,2005,4833106402052.48
BRA,NY.GDP.MKTP.CD,2006,5018973971812.422
BRA,NY.GDP.MKTP.CD,2007,5211989481347.451
BRA,NY.GDP.MKTP.CD,2008,5412427820156.013
BRA,NY.GDP.MKTP.CD,2009,5620574449207.315
BRA,NY.GDP.MKTP.CD,2010,5836725807490.125
BRA,NY.GDP.MKTP.CD,2011,6061189734196.271
BRA,NY.GDP.MKTP.CD,2012,6294285907140.145
BRA,NY.GDP.MKTP.CD,2013,6536346298038.545
BRA,NY.GDP.MKTP.CD,2014,6787715645299.32
BRA,NY.GDP.MKTP.CD,2015,7048751944992.11
BRA,NY.GDP.MKTP.CD,2016,7319826960700.428
BRA,NY.GDP.MKTP.CD,2017,7601326752981.207
BRA,NY.GDP.MKTP.CD,2018,7893652229185.88
BRA,NY.GDP.MKTP.CD,2019,8197219714425.983
BRA,NY.GDP.MKTP.CD,2020,8512461544496.517
BRA,NY.GDP.MKTP.CD,2021,8839826681601.426
BRA,NY.GDP.MKTP.CD,2022,9179781353758.154
BRA,NY.GDP.MKTP.CD,2023,9179781353758.154
BRA,SP.POP.TOTL,1960,334328862189.1386
BRA,SP.POP.TOTL,1961,334328862189.1386
BRA,SP.POP.TOTL,1962,349112060065.93555
BRA,SP.POP.TOTL,1963,364548934499.5023
BRA,SP.POP.TOTL,1964,380668389455.30206
BRA,SP.POP.TOTL,1965,397500606960.8781
BRA,SP.POP.TOTL,1966,415077103618.60657
BRA,SP.POP.TOTL,1967,433430789617.3051
BRA,SP.POP.TOTL,1968,452596030353.1889
BRA,SP.POP.TOTL,1969,472608710775.5535
BRA,SP.POP.TOTL,1970,494443962146.3235
BRA,SP.POP.TOTL,1971,516279213517.0935
BRA,SP.POP.TOTL,1972,538114464887.86346
BRA,SP.POP.TOTL,1973,561908559608.5988
BRA,SP.POP.TOTL,1974,586754770524.9044
BRA,SP.POP.TOTL,1975,612699619620.5745
BRA,SP.POP.TOTL,1976,639791685966.8087
BRA,SP.POP.TOTL,1977,668081696681.5466
BRA,SP.POP.TOTL,1978,697622621910.7965
BRA,SP.POP.TOTL,1979,728469774009.8063
BRA,SP.POP.TOTL,1980,760680911109.7798
BRA,SP.POP.TOTL,1981,794316345264.0597
BRA,SP.POP.TOTL,1982,829439055376.2655
BRA,SP.POP.TOTL,1983,866114805121.8381
BRA,SP.POP.TOTL,1984,904412266083.7816
BRA,SP.POP.TOTL,1985,944403146333.1664
BRA,SP.POP.TOTL,1986,986162324695.1428
BRA,SP.POP.TOTL,1987,1029767990951.8682
BRA,SP.POP.TOTL,1988,1076308488451.3901
BRA,SP.POP.TOTL,1989,1122848985950.912
BRA,SP.POP.TOTL,1990,1172498599317.7727
BRA,SP.POP.TOTL,1991,1225489825117.3833
BRA,SP.POP.TOTL,1992,1278481050916.994
BRA,SP.POP.TOTL,1993,1335012330429.2876
BRA,SP.POP.TOTL,1994,1395348385319.4219
BRA,SP.POP.TOTL,1995,1455684440209.5564
BRA,SP.POP.TOTL,1996,1520051216637.067
BRA,SP.POP.TOTL,1997,1588750127914.7915
BRA,SP.POP.TOTL,1998,1657449039192.516
BRA,SP.POP.TOTL,1999,1730737348663.172
BRA,SP.POP.TOTL,2000,1807266286459.682
BRA,SP.POP.TOTL,2001,1887179145175.6692
BRA,SP.POP.TOTL,2002,1970625553449.908
BRA,SP.POP.TOTL,2003,2057761756130.6133
BRA,SP.POP.TOTL,2004,2148750906827.912
BRA,SP.POP.TOTL,2005,2243763373402.256
BRA,SP.POP.TOTL,2006,2342977056960.781
BRA,SP.POP.TOTL,2007,2446577724958.9023
BRA,SP.POP.TOTL,2008,2554759359030.8354
BRA,SP.POP.TOTL,2009,2670222038591.2573
BRA,SP.POP.TOTL,2010,2785684718151.679
BRA,SP.POP.TOTL,2011,2911584099176.0938
BRA,SP.POP.TOTL,2012,3037483480200.5083
BRA,SP.POP.TOTL,2013,3174762938833.165
BRA,SP.POP.TOTL,2014,3312042397465.8223
BRA,SP.POP.TOTL,2015,3458492745238.605
BRA,SP.POP.TOTL,2016,3611418766263.392
BRA,SP.POP.TOTL,2017,3771106798843.26
BRA,SP.POP.TOTL,2018,3937855842454.983
BRA,SP.POP.TOTL,2019,4111978117594.901
BRA,SP.POP.TOTL,2020,4293799650379.812
BRA,SP.POP.TOTL,2021,4483660882997.461
BRA,SP.POP.TOTL,2022,4483660882997.461
BRA,SP.POP.TOTL,2023,4483660882997.461
CHN,NY.GDP.MKTP.CD,1960,498237787029.1839
CHN,NY.GDP.MKTP.CD,1961,498237787029.1839
CHN,NY.GDP.MKTP.CD,1962,521082225626.74005
CHN,NY.GDP.MKTP.CD,1963,544974092557.5611
CHN,NY.GDP.MKTP.CD,1964,569961412906.9927
CHN,NY.GDP.MKTP.CD,1965,596094413733.298
CHN,NY.GDP.MKTP.CD,1966,624052199522.8035
CHN,NY.GDP.MKTP.CD,1967,652009985312.3088
CHN,NY.GDP.MKTP.CD,1968,681904952057.551
CHN,NY.GDP.MKTP.CD,1969,713170617192.1301
CHN,NY.GDP.MKTP.CD,1970,747392016335.3857
CHN,NY.GDP.MKTP.CD,1971,781613415478.6415
CHN,NY.GDP.MKTP.CD,1972,815834814621.8971
CHN,NY.GDP.MKTP.CD,1973,853241227410.269
CHN,NY.GDP.MKTP.CD,1974,892362741947.9363
CHN,NY.GDP.MKTP.CD,1975,933277996462.7096
CHN,NY.GDP.MKTP.CD,1976,977050234058.0066
CHN,NY.GDP.MKTP.CD,1977,1020822471653.3036
CHN,NY.GDP.MKTP.CD,1978,1067627665638.5673
CHN,NY.GDP.MKTP.CD,1979,1116578899944.0938
CHN,NY.GDP.MKTP.CD,1980,1167774571535.3486
CHN,NY.GDP.MKTP.CD,1981,1221317588925.2844
CHN,NY.GDP.MKTP.CD,1982,1277315579030.9302
CHN,NY.GDP.MKTP.CD,1983,1335881103514.4531
CHN,NY.GDP.MKTP.CD,1984,1397131885043.5625
CHN,NY.GDP.MKTP.CD,1985,1461191043926.0583
CHN,NY.GDP.MKTP.CD,1986,1528187345594.1868
CHN,NY.GDP.MKTP.CD,1987,1598255459436.2705
CHN,NY.GDP.MKTP.CD,1988,1673216208509.5188
CHN,NY.GDP.MKTP.CD,1989,1748176957582.767
CHN,NY.GDP.MKTP.CD,1990,1828331699364.3716
CHN,NY.GDP.MKTP.CD,1991,1914083393769.3818
CHN,NY.GDP.MKTP.CD,1992,1999835088174.392
CHN,NY.GDP.MKTP.CD,1993,2091528474477.832
CHN,NY.GDP.MKTP.CD,1994,2187426045987.0967
CHN,NY.GDP.MKTP.CD,1995,2287720566585.793
CHN,NY.GDP.MKTP.CD,1996,2395018336994.8076
CHN,NY.GDP.MKTP.CD,1997,2502316107403.8228
CHN,NY.GDP.MKTP.CD,1998,2617048486511.62
CHN,NY.GDP.MKTP.CD,1999,2737041399561.068
CHN,NY.GDP.MKTP.CD,2000,2862536044525.802
CHN,NY.GDP.MKTP.CD,2001,2993784678420.827
CHN,NY.GDP.MKTP.CD,2002,3131051124364.8057
CHN,NY.GDP.MKTP.CD,2003,3274611301891.388
CHN,NY.GDP.MKTP.CD,2004,3424753781575.571
CHN,NY.GDP.MKTP.CD,2005,3581780365089.937
CHN,NY.GDP.MKTP.CD,2006,3746006691856.752
CHN,NY.GDP.MKTP.CD,2007,3917762873515.3374
CHN,NY.GDP.MKTP.CD,2008,4097394157480.085
CHN,NY.GDP.MKTP.CD,2009,4285261620922.91
CHN,NY.GDP.MKTP.CD,2010,4481742896575.139
CHN,NY.GDP.MKTP.CD,2011,4687232931807.747
CHN,NY.GDP.MKTP.CD,2012,4902144782515.799
CHN,NY.GDP.MKTP.CD,2013,5126910443402.842
CHN,NY.GDP.MKTP.CD,2014,5361981716334.266
CHN,NY.GDP.MKTP.CD,2015,5607831118505.045
CHN,NY.GDP.MKTP.CD,2016,5864952832247.422
CHN,NY.GDP.MKTP.CD,2017,6133863698387.713
CHN,NY.GDP.MKTP.CD,2018,6415104255148.995
CHN,NY.GDP.MKTP.CD,2019,6709239824687.98
CHN,NY.GDP.MKTP.CD,2020,7016861649450.111
CHN,NY.GDP.MKTP.CD,2021,7338588080627.079
CHN,NY.GDP.MKTP.CD,2022,7675065821105.69
CHN,NY.GDP.MKTP.CD,2023,7675065821105.69
CHN,SP.POP.TOTL,1960,61344315437.31494
CHN,SP.POP.TOTL,1961,61344315437.31494
CHN,SP.POP.TOTL,1962,62258323648.42122
CHN,SP.POP.TOTL,1963,63185950252.756165
CHN,SP.POP.TOTL,1964,64127398159.47518
CHN,SP.POP.TOTL,1965,65082873301.007
CHN,SP.POP.TOTL,1966,66052584678.0994
CHN,SP.POP.TOTL,1967,67036744405.53604
CHN,SP.POP.TOTL,1968,68035567758.53447
CHN,SP.POP.TOTL,1969,69049273219.83548
CHN,SP.POP.TOTL,1970,70093487547.36197
CHN,SP.POP.TOTL,1971,71137701874.88844
CHN,SP.POP.TOTL,1972,72181916202.41493
CHN,SP.POP.TOTL,1973,73257400762.50932
CHN,SP.POP.TOTL,1974,74348909655.28778
CHN,SP.POP.TOTL,1975,75456681637.53725
CHN,SP.POP.TOTL,1976,76580959023.43481
CHN,SP.POP.TOTL,1977,77721987737.55157
CHN,SP.POP.TOTL,1978,78880017368.64615
CHN,SP.POP.TOTL,1979,80055301224.25981
CHN,SP.POP.TOTL,1980,81248096386.12495
CHN,SP.POP.TOTL,1981,82476790366.15475
CHN,SP.POP.TOTL,1982,83705484346.18456
CHN,SP.POP.TOTL,1983,84934178326.21436
CHN,SP.POP.TOTL,1984,86199667000.1087
CHN,SP.POP.TOTL,1985,87484010999.5659
CHN,SP.POP.TOTL,1986,88787491262.14742
CHN,SP.POP.TOTL,1987,90110392911.2832
CHN,SP.POP.TOTL,1988,91453005318.6396
CHN,SP.POP.TOTL,1989,92815622167.41669
CHN,SP.POP.TOTL,1990,94198541516.5884
CHN,SP.POP.TOTL,1991,95602065866.10008
CHN,SP.POP.TOTL,1992,97026502223.03732
CHN,SP.POP.TOTL,1993,98472162168.78076
CHN,SP.POP.TOTL,1994,99939361927.16138
CHN,SP.POP.TOTL,1995,101439515666.3136
CHN,SP.POP.TOTL,1996,102939669405.4658
CHN,SP.POP.TOTL,1997,104473433413.00948
CHN,SP.POP.TOTL,1998,106030049951.98662
CHN,SP.POP.TOTL,1999,107609859516.8868
CHN,SP.POP.TOTL,2000,109213207675.4449
CHN,SP.POP.TOTL,2001,110840445144.23064
CHN,SP.POP.TOTL,2002,112491927865.36436
CHN,SP.POP.TOTL,2003,114180503647.29361
CHN,SP.POP.TOTL,2004,115869079429.22284
CHN,SP.POP.TOTL,2005,117595486990.48833
CHN,SP.POP.TOTL,2006,119347617402.77042
CHN,SP.POP.TOTL,2007,121125853927.28703
CHN,SP.POP.TOTL,2008,122930585535.7101
CHN,SP.POP.TOTL,2009,124762206995.24953
CHN,SP.POP.TOTL,2010,126621118955.00436
CHN,SP.POP.TOTL,2011,128507728033.60104
CHN,SP.POP.TOTL,2012,130422446908.13716
CHN,SP.POP.TOTL,2013,132365694404.45032
CHN,SP.POP.TOTL,2014,134337895588.73248
CHN,SP.POP.TOTL,2015,136354393317.86702
CHN,SP.POP.TOTL,2016,138370891047.00156
CHN,SP.POP.TOTL,2017,140432567498.90176
CHN,SP.POP.TOTL,2018,142524962187.5652
CHN,SP.POP.TOTL,2019,144648532803.65854
CHN,SP.POP.TOTL,2020,146803743857.27475
CHN,SP.POP.TOTL,2021,149007361941.5041
CHN,SP.POP.TOTL,2022,151210980025.7334
