Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,,35090898494.59374,,37933601397.32828,39440178367.209854,,42635215095.78232,44328522106.009315,46089080767.82158,47919562058.55139,,,53858868138.10206,55997935544.61696,58221958493.789795,60534311093.51745,62938501458.30478,65438177031.49247,68037130118.86327,70739303642.02196,73548797120.27725,76469872890.10138,79506962571.60239,82664673791.82016,85947797175.0458,89361313610.76962,92910401810.28429,96600446163.40697,100437044907.24055,104426018619.3666,108573419048.3552,112885538294.98898,117368918358.12987,122030361059.71112,126876938363.91202,131916003106.17023,137155200148.30975,142602477976.70743,148266100761.09415,154154660892.2853,160277092017.86197,166642682595.57886,173261089985.06195,180142355099.17413,187296917637.27682,194735631923.49805,202469783374.03607,210511105618.48074,218871798301.1283,227564545589.2956,236602535416.714,245999479491.1967,255769634096.9335,265927821722.97357,276489453550.70776,287470552834.4677,298887779210.7125,310758453972.6829,323100586348.86755,,349274865552.082,363146721880.3955,,
France,FRA,"Population, total",SP.POP.TOTL,,514461834546.2939,525870588259.5868,537532343561.23926,549452711038.1148,561637425697.9752,574092349728.6509,586823475318.3965,599836927538.794,,,,654841321939.0253,669363144281.5477,684207003913.2312,699380042363.0906,714889559531.3556,730743017201.5258,746948042630.3082,763512432217.168,780444155255.2529,797751357765.5004,815442366415.7693,833525692526.8826,852010036167.5096,870904290339.8553,890217545258.1722,909959092722.1538,,950765267334.4884,971849526740.7052,993401352653.5898,1015431113871.6826,1037949409132.9696,1060967072214.0399,1084495177142.3256,,1133128241989.5789,,1183942206343.153,1210197419336.4626,1237034870386.3518,1264467471258.367,1292508420050.573,1321171207543.2913,1350469623689.6475,1380417764250.0571,1411030037573.8352,1442321171531.1973,1474306220598.9854,1507000573103.5266,1540419958624.1106,1574580455560.6465,1609498498869.143,1645190887968.7283,1681674794824.0188,1718967772206.7236,,1796053104532.8228,1835882545998.9348,1876595248880.591,1918210800465.473,1960749222410.7842,
Côte d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,,739214697466.8041,767080353238.6809,795996441008.5386,826002558171.515,857139794797.8616,889450789901.2659,922979789828.2805,957772708848.8188,993877192030.6859,,,1110563826637.8418,1152427968965.962,,,,1336271960262.478,1386644463122.4573,1438915822742.0144,1493157618986.9229,,1607852434010.5508,1668462514697.0544,1731357370903.4492,1796623130203.1875,,1934628224217.064,2007556541696.8596,2083233986592.3818,2161764190823.427,2243254692849.2754,2327817084930.7617,2415567165943.575,2506625099952.057,,2699168002668.279,2800916637659.666,2906500819275.9307,3016065133416.557,3129759616333.843,3247739960091.005,3370167725765.306,3497210564688.138,3629042448025.045,3765843905010.059,3907802270160.589,4055111939811.393,4207974638318.935,4366599694300.6577,4531204327287.448,4702013945181.851,4879262452929.34,5063192572825.363,5254056176896.779,5452114631812.827,5657639156797.981,5870911195036.783,6092222799079.261,6321877030774.711,6560188376281.493,6807483176721.168,7064100075066.689,
Côte d'Ivoire,CIV,"Population, total",SP.POP.TOTL,,,691599714337.5059,702159877727.8776,712881286197.62,723766401827.5425,734817724292.4187,746037791435.0176,757429179848.8958,768994505470.0917,,,804760867754.8226,817048909634.3785,829524579888.1306,842190743448.2749,855050308992.1844,868106229610.3625,881361503484.5955,894819174576.4587,908482333326.3385,922354117363.1235,,950736352089.664,965253320519.6611,979991951213.7911,994955628773.9822,1010147789482.2725,,1041231568618.5828,1057130325173.6776,1073271842770.2316,1089659828171.2896,1106298044739.1428,1123190313299.5557,1140340513019.1836,1157752582296.3928,1175430519665.6785,1193378384715.8967,1211600299022.5117,1230100447094.0837,,1267952503012.1057,,1306969324084.555,,1347186751901.329,1367757194488.9895,1388641730952.3914,,1431372342565.6787,1453228230439.247,1475417839889.331,1497946266572.1348,,1544040344481.3215,1567616580822.9856,1591552807058.712,,1640527300151.1963,1665576813586.2283,1691008812654.5527,1716829137599.7358,
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,,,94043812079.5109,97485876466.99585,101053922638.77483,104752561609.68875,108586573160.70592,112560912015.8715,116680714245.33757,120951303902.74773,,,134724003990.10559,139654989729.83353,144766452738.981,150064998602.414,155557474673.67996,,167152869114.52246,173270772305.84128,179612594713.48358,186186531925.68793,193001079494.52646,200065043914.77554,,214978072702.8985,,231002732105.1637,239457581605.72046,248221884069.99594,257306965676.74094,266724567150.1788,276486858932.6382,286606456912.5137,297096438727.88,307970360666.82947,319242275186.3722,330926749072.53955,343038882265.1594,355594327371.6301,368609309894.91095,382100649201.87103,396085780259.09216,410582776164.2171,425610371501.95917,441187986554.9574,457335752400.7642,474074536927.39935,491425971801.0897,509412480421.0463,528057306897.4038,547384546089.7712,,588187083775.9036,,632031079416.0851,655163825974.7046,679143246028.9373,704000328376.6915,729767196025.935,756477147707.5183,,812865636473.8268,
United States,USA,"Population, total",SP.POP.TOTL,,567546660023.3577,,622918089699.436,652597834744.4106,683691709962.3583,716267093430.2496,,786148101965.3538,823605153895.2161,,,947028637423.8104,,1039423383604.1276,1088948066751.5387,,1195188866929.189,1252135199741.8489,1311794814873.7644,1374296990200.795,,,1580245825187.11,1655538699122.7012,1734419000264.316,1817057656261.3552,1903633738834.0698,1994334851808.4395,2089357537639.4805,2188907703303.8887,2293201066484.8926,2402463623016.1626,2516932136597.7007,2636854651844.878,2762491031782.364,2894113520947.6567,3032007335324.4175,3176471280383.939,3327818398574.019,,3652489611375.8306,3826517243961.295,4008836650138.3877,4199842902277.36,4399949896486.956,4609591249495.995,,5059315784385.213,,,5817492655215.566,6094674682295.758,6385063408668.884,6689288084752.264,7008007942420.274,,7691728676389.8,8058211123834.086,8442155105601.213,8844392599274.375,,9707276124689.174,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,,498237787029.1839,521082225626.74005,544974092557.5611,569961412906.9927,596094413733.298,,652009985312.3088,681904952057.551,713170617192.1301,,,815834814621.8971,853241227410.269,892362741947.9363,933277996462.7096,,1020822471653.3036,1067627665638.5673,1116578899944.0938,1167774571535.3486,1221317588925.2844,1277315579030.9302,1335881103514.4531,1397131885043.5625,1461191043926.0583,1528187345594.1868,1598255459436.2705,,1748176957582.767,1828331699364.3713,,1999835088174.3918,2091528474477.832,2187426045987.0972,2287720566585.7935,,2502316107403.8228,2617048486511.62,2737041399561.068,2862536044525.802,2993784678420.827,3131051124364.8057,3274611301891.3877,3424753781575.571,3581780365089.9375,3746006691856.752,3917762873515.3374,4097394157480.085,4285261620922.91,4481742896575.139,4687232931807.747,4902144782515.799,5126910443402.842,5361981716334.266,5607831118505.045,5864952832247.422,6133863698387.713,6415104255148.995,6709239824687.98,7016861649450.111,7338588080627.079,7675065821105.69,
China,CHN,"Population, total",SP.POP.TOTL,,61344315437.31494,62258323648.42122,63185950252.756165,64127398159.47518,65082873301.007,66052584678.0994,67036744405.53604,68035567758.53447,69049273219.83548,,,72181916202.41493,73257400762.50932,74348909655.28778,75456681637.53725,76580959023.43481,77721987737.55157,78880017368.64615,80055301224.25981,81248096386.12495,,,84934178326.21436,86199667000.1087,87484010999.5659,88787491262.14742,90110392911.28319,91453005318.6396,92815622167.41669,94198541516.5884,95602065866.10008,97026502223.03731,98472162168.78075,99939361927.16138,,102939669405.46579,104473433413.00948,106030049951.98662,107609859516.8868,109213207675.4449,110840445144.23065,112491927865.36435,,115869079429.22284,117595486990.48831,119347617402.77042,121125853927.28703,122930585535.7101,124762206995.24953,126621118955.00435,128507728033.60103,130422446908.13715,132365694404.45033,134337895588.73248,,138370891047.00156,140432567498.90176,142524962187.5652,144648532803.65854,146803743857.27475,,151210980025.7334,
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,,918604404782.9341,953931325832.1527,,1028713134487.0857,1068274525108.6632,1109357334652.0413,1152020072575.538,,1242330708468.3616,,,1391242966530.3438,1444746226674.7493,1500307070515.8538,1558004626889.1243,1617921067700.7002,1680141724955.2625,1744755212284.4658,1811853551149.0073,1881532301894.0708,1953890699844.7893,2029031796635.5564,2107062606974.4597,2188094261051.8608,2272242162810.1733,2359626154300.252,2450370686358.4604,2544604995847.4946,2642463289713.3867,2744084936120.822,2849614662938.9697,,3073005312447.5156,3191184384408.656,3313908288424.9263,3441351805851.9976,,,,,4155966210331.943,4315792888095.708,4481766046757.584,4654122062546.868,4833106402052.48,5018973971812.422,5211989481347.451,5412427820156.013,5620574449207.315,5836725807490.125,6061189734196.271,6294285907140.145,6536346298038.545,6787715645299.32,7048751944992.11,7319826960700.428,7601326752981.207,7893652229185.88,8197219714425.983,8512461544496.517,8839826681601.426,9179781353758.154,
Brazil,BRA,"Population, total",SP.POP.TOTL,,334328862189.1386,349112060065.93555,364548934499.50226,380668389455.30206,397500606960.8781,415077103618.60657,433430789617.3051,452596030353.1889,472608710775.55347,,,538114464887.86346,561908559608.5988,586754770524.9044,612699619620.5745,639791685966.8087,668081696681.5466,697622621910.7965,728469774009.8063,760680911109.7798,794316345264.0597,829439055376.2655,866114805121.8381,904412266083.7817,944403146333.1664,986162324695.1427,1029767990951.8682,,1122848985950.912,1172498599317.7727,,1278481050916.9941,1335012330429.2876,,1455684440209.5564,1520051216637.067,,1657449039192.5159,1730737348663.1719,1807266286459.682,1887179145175.6694,1970625553449.9077,2057761756130.6133,2148750906827.912,2243763373402.256,2342977056960.7812,2446577724958.9023,2554759359030.8354,,2785684718151.679,,3037483480200.5083,,3312042397465.8223,3458492745238.6055,3611418766263.3916,3771106798843.2603,3937855842454.983,4111978117594.9004,4293799650379.8115,4483660882997.461,,
